Date,SAN_Adj_Close,SAN_Close,SAN_Volume,SAN_High,SAN_Low,SAN_Open,BBVA_Price,IBEX,SP500,EURUSD,OIL,eventos_negativos,gdp_growth_x,hicp_es,ecb_refi_rate,ecb_refi_rate_diff,bce_hike,house_price_index_es,vix,bce_hike_strict,hicp_es_yoy,hicp_es_gap_ecb,year,gdp_growth_y
2003-12-01,0.15483727794521038,0.545026548992654,0.044303749698239116,0.5368326051788771,0.5315645623604314,0.5461903909167478,0.45153988369387826,0.13890796632565505,0.06333555812934688,0.3706040804435955,0.3694511475884771,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.10373895168984276,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-02,0.15342269205470874,0.5420184803995918,0.19765104322535923,0.5360915319904997,0.5398621886542082,0.5431900170942954,0.4492966662820533,0.13659287187342262,0.06277234648092311,0.3899978719908299,0.3739886500448715,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.09694085535079414,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-03,0.1555445240260744,0.546530604005055,0.03315846501566351,0.5360915319904997,0.5413708479803494,0.5476905984908516,0.4532222550024167,0.1400851524809572,0.06246820983358267,0.39531733540427205,0.37573804707472547,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.10183546708068708,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-04,0.15412996937849735,0.543522493980253,0.039951203612098515,0.5346093856137448,0.5428794657479173,0.5446901833426439,0.45490462631095513,0.13839788106492046,0.06327118715516006,0.38874120890690245,0.3766127455896524,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.09734872453422216,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-05,0.15306892842111666,0.5412664528933913,0.021772000341322432,0.5331272392369898,0.5413708479803494,0.5424399133072435,0.4492966662820533,0.13653400298569207,0.06194844908381658,0.4053256926427391,0.37371530024193883,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.10808972919760518,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-09,0.15200794994958486,0.5390103703747897,0.047812068845403295,0.5346093856137448,0.5413708479803494,0.5401896019460877,0.4492966662820533,0.14074243391093189,0.06173604647658981,0.4151822357300756,0.37934618105560636,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.11543165975878433,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-10,0.14953232310170259,0.5337462192631259,0.0387543553863467,0.5279397677465768,0.5315645623604314,0.5349389167624796,0.4459318679978694,0.13758363190094014,0.06155420878722531,0.4059534646730891,0.38000219972818716,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.11869476882228563,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-11,0.15342269205470874,0.5420184803995918,0.037285899306444895,0.5316451336884641,0.5330731801279993,0.5431900170942954,0.45210061846295063,0.14478412553740017,0.06351095282831368,0.41112932010573244,0.37983820027365633,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.1031950915350327,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-12,0.15342269205470874,0.5420184803995918,0.0320654313568668,0.5360915319904997,0.5413708479803494,0.5431900170942954,0.4504182471544122,0.14499991425930925,0.0639824500798872,0.4197239780007491,0.38634377960225086,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.09884431402727031,0.0,,0.3577750292809882,0.0,0.7875612001861129
2003-12-15,0.15448351431161825,0.5442745214864535,0.03709857860207592,0.5412790034809127,0.5481597318308384,0.5454402871296957,0.4526614645662372,0.14866880153003548,0.06300085656414417,0.426138032634074,0.3871091381960048,0,,0.0,0.8333333333333333,0.5,0.0,0.7697321808133766,0.10999318787408133,0.0,,0.3577750292809882,0.0,0.7875612001861129
