Date,Unnamed: 0,SAN_Adj_Close,SAN_Close,SAN_Volume,SAN_High,SAN_Low,SAN_Open,BBVA_Price,IBEX,SP500,EURUSD,OIL,eventos_negativos,year,gdp_growth,hicp_es,hicp_es_yoy,hicp_es_gap_ecb,ecb_refi_rate,ecb_refi_rate_diff,bce_hike,house_price_index_es,vix,vix,vix,vix,vix,vix,bce_hike_strict
2003-12-01,0,2.415459156036377,7.746233940124512,42034006,7.772199153900146,7.53851318359375,7.746233940124512,9.895663261413574,7372.2998046875,1070.1199951171875,1.19650137424469,29.950000762939453,0,2003,2.9392895953076,79.34,,,,,0,,16.770000457763672,16.770000457763672,17.030000686645508,16.170000076293945,16.739999771118164,0,
2003-12-02,1,2.4046642780303955,7.71161413192749,187525101,7.763544082641602,7.633718967437744,7.71161413192749,9.857233047485352,7348.7001953125,1066.6199951171875,1.2088974714279177,30.780000686645508,0,2003,2.9392895953076,,,,,,0,,16.270000457763672,16.270000457763672,16.889999389648438,16.170000076293945,16.889999389648438,0,
2003-12-03,2,2.420856714248657,7.763544082641602,31459710,7.763544082641602,7.651029109954834,7.763544082641602,9.924485206604004,7384.2998046875,1064.72998046875,1.2122975587844849,31.100000381469727,0,2003,2.9392895953076,,,,,,0,,16.6299991607666,16.6299991607666,16.68000030517578,15.770000457763672,16.079999923706055,0,
2003-12-04,3,2.410061836242676,7.728923797607422,37904447,7.746233940124512,7.668338775634766,7.728923797607422,9.953307151794434,7367.10009765625,1069.719970703125,1.2080942392349243,31.26000022888184,0,2003,2.9392895953076,,,,,,0,,16.299999237060547,16.299999237060547,16.829999923706055,16.290000915527344,16.479999542236328,0,
2003-12-05,4,2.401965856552124,7.702959060668945,20656590,7.728923797607422,7.651029109954834,7.702959060668945,9.857233047485352,7348.10009765625,1061.5,1.2186946868896484,30.729999542236328,0,2003,2.9392895953076,,,,,,0,,17.09000015258789,17.09000015258789,17.31999969482422,16.5,16.760000228881836,0,
2003-12-09,5,2.3938679695129395,7.6769938468933105,45362589,7.746233940124512,7.651029109954834,7.6769938468933105,9.857233047485352,7391.0,1060.1800537109375,1.2249947786331177,31.76000022888184,0,2003,2.9392895953076,,,,,,0,,17.6299991607666,17.6299991607666,17.799999237060547,16.559999465942383,16.6299991607666,0,
2003-12-10,6,2.374976634979248,7.616408824920654,36768915,7.668338775634766,7.53851318359375,7.616408824920654,9.799588203430176,7358.7998046875,1059.050048828125,1.2190959453582764,31.8799991607666,0,2003,2.9392895953076,,,,,,0,,17.8700008392334,17.8700008392334,18.270000457763672,17.579999923706055,17.65999984741211,0,
2003-12-11,7,2.4046642780303955,7.71161413192749,35375690,7.71161413192749,7.555822849273682,7.71161413192749,9.905269622802734,7432.2001953125,1071.2099609375,1.2224042415618896,31.850000381469727,0,2003,2.9392895953076,,,,,,0,,16.729999542236328,16.729999542236328,17.950000762939453,16.510000228881836,17.950000762939453,0,
2003-12-12,8,2.4046642780303955,7.71161413192749,30422674,7.763544082641602,7.651029109954834,7.71161413192749,9.876447677612305,7434.39990234375,1074.1400146484375,1.2278977632522583,33.040000915527344,0,2003,2.9392895953076,,,,,,0,,16.40999984741211,16.40999984741211,16.979999542236328,16.09000015258789,16.190000534057617,0,
2003-12-15,9,2.4127604961395264,7.737578868865967,35197966,7.824129104614258,7.728923797607422,7.737578868865967,9.914877891540527,7471.7998046875,1068.0400390625,1.2319974899291992,33.18000030517578,0,2003,2.9392895953076,,,,,,0,,17.229999542236328,17.229999542236328,17.420000076293945,15.789999961853027,15.800000190734863,0,
