Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2000-01-03,2.6250669956207275,2.661974544219545,2.5950793264387575,2.6527477841566984,8797337
2000-01-04,2.5627851486206055,2.6066130869988986,2.539717866142289,2.5927728191813997,8811013
2000-01-05,2.500502347946167,2.546636892844795,2.4797417010723373,2.514342609746308,9333517
2000-01-06,2.500502347946167,2.5005023479461665,2.5005023479461665,2.5005023479461665,0
2000-01-07,2.611227035522461,2.618147170600437,2.5166510088775516,2.51895763584562,9603132
2000-01-10,2.5881590843200684,2.6342936452209083,2.565091549695943,2.6342936452209083,6747710
2000-01-11,2.500502347946167,2.5881581865924543,2.456673920275789,2.5835446812678677,15293569
2000-01-12,2.47743558883667,2.47743558883667,2.4359142822256445,2.472821827909116,12052290
2000-01-13,2.4566738605499268,2.4935819022493204,2.4243795782365685,2.491275276729914,11043549
2000-01-14,2.521263599395752,2.53971762697959,2.4497546237689356,2.4682086513527737,15745712
2000-01-17,2.4543681144714355,2.5650915167228203,2.4336074606634446,2.5604782640310018,31619384
2000-01-18,2.329803943634033,2.4451405737177168,2.3159634260206405,2.4451405737177168,20093136
2000-01-19,2.329803943634033,2.3321105694827753,2.276749007376499,2.309043294300768,20666919
2000-01-20,2.3782448768615723,2.41745928730816,2.3436439713216886,2.352870726961501,11769910
2000-01-21,2.304429531097412,2.415152897119298,2.2905892692031884,2.3943922501043433,18255137
2000-01-24,2.329803943634033,2.3759387481716954,2.306736668452026,2.3298039436340336,9894501
2000-01-25,2.329803943634033,2.3344174495051644,2.2928961508386334,2.306736668452026,15844637
2000-01-26,2.3897790908813477,2.396699222830764,2.329804020914544,2.359791682984774,22642896
2000-01-27,2.396698236465454,2.4174588779432806,2.3644039617607358,2.4151522529673226,50176740
2000-01-28,2.3228836059570312,2.4082325673977714,2.313656595032877,2.4082325673977714,13102872
2000-01-31,2.3356401920318604,2.370431119644825,2.3078073988275944,2.342598326440559,49721466
2000-02-01,2.3634729385375977,2.620926717836746,2.3263624631419977,2.620926717836746,11642759
2000-02-02,2.3634729385375977,2.3866668898212975,2.3310013045126308,2.3843475969207137,10673286
2000-02-03,2.395944833755493,2.421458080721093,2.3425985355318857,2.3704313312203995,11396777
2000-02-04,2.4168195724487305,2.444652369035912,2.391306069089855,2.4237777077031506,13899128
2000-02-07,2.4910402297973633,2.4910402297973633,2.4284162534397886,2.444652070765515,12468731
2000-02-08,2.532789468765259,2.549025285587115,2.463207104592204,2.4956789938053787,12234462
2000-02-09,2.4864025115966797,2.5513460724833616,2.449292270475165,2.5513460724833616,10918965
2000-02-10,2.4353744983673096,2.4864012456055127,2.40290286224223,2.465526841441804,9146146
2000-02-11,2.3031694889068604,2.4376946678760487,2.2846141155527837,2.4353753739915764,17391741
2000-02-14,2.414499282836914,2.509595131840793,2.3078069712495184,2.393624627908891,26742175
2000-02-15,2.453930377960205,2.5304711617109437,2.423778281012677,2.4469722410599393,21321476
2000-02-16,2.576859474182129,2.583817612141906,2.472486126937466,2.5119161717052725,33672600
2000-02-17,2.5745391845703125,2.6162882517557127,2.553664523192861,2.558303365228906,16808772
2000-02-18,2.509596109390259,2.5861363702277105,2.509596109390259,2.5768586854081637,18340717
2000-02-21,2.553663969039917,2.569899784858101,2.481762316438353,2.4933595467965817,8925338
2000-02-22,2.5188732147216797,2.5861360376593354,2.4910404194117666,2.5513448518448265,11592996
2000-02-23,2.5745391845703125,2.5745391845703125,2.4933600878632807,2.539747997084726,9405260
2000-02-24,2.504957914352417,2.5722205077534146,2.4933609331156648,2.551345839299425,11082867
2000-02-25,2.521193265914917,2.5606230458319637,2.493360465057617,2.5119155804393034,9944867
2000-02-28,2.5072760581970215,2.5420672415169383,2.4887209478440115,2.528150717075077,9537525
2000-02-29,2.5281505584716797,2.574538714798253,2.5072759009031946,2.518872876092474,7498301
2000-03-01,2.5235111713409424,2.5443858243933657,2.4979979336718916,2.5397469842073384,9141201
2000-03-02,2.5629425048828125,2.5699008972235355,2.530471114760854,2.5374292515320196,14128833
2000-03-03,2.5374293327331543,2.6093307631882947,2.5281516463616636,2.586136802829133,16796144
2000-03-06,2.5281505584716797,2.5791773004184,2.5281505584716797,2.5791773004184,12355814
2000-03-07,2.5188732147216797,2.5629418285931664,2.509595786664702,2.5327897401613813,10034784
2000-03-08,2.539747953414917,2.56294190762683,2.504957022097047,2.507276315290439,9208349
2000-03-09,2.558302879333496,2.586135670694015,2.5281505396107526,2.542067063075739,14804511
2000-03-10,2.595414161682129,2.595414161682129,2.544387399192602,2.5838171818240343,59945035
2000-03-13,2.593094825744629,2.593094825744629,2.593094825744629,2.593094825744629,0
2000-03-14,2.618607521057129,2.618607521057129,2.565261226690869,2.6093298379753076,23476575
2000-03-15,2.6394829750061035,2.655718541933923,2.574539685016618,2.5814978216384765,33445529
2000-03-16,2.6835505962371826,2.6905087302575406,2.651078963382902,2.662675938606651,16516306
2000-03-17,2.7508132457733154,2.7832848766850815,2.695147410232116,2.7160223221833264,24520456
2000-03-20,2.7484941482543945,2.780965525902379,2.736896917331485,2.736896917331485,20072443
2000-03-21,2.713703155517578,2.7531331848606855,2.655718013683803,2.7276199371322054,11023983
2000-03-22,2.685870885848999,2.7484951375514983,2.6603573775463665,2.7137036878293475,12947772
2000-03-23,2.6394829750061035,2.7183427938088585,2.632524582814693,2.69050973618232,10456218
2000-03-24,2.6742730140686035,2.6974669653854675,2.6209267215842442,2.637162538619942,5547595
2000-03-27,2.6487600803375244,2.6742735855801745,2.620927281695325,2.646440786937975,6323555
2000-03-28,2.695147752761841,2.711383570281154,2.632523775657571,2.637162617173014,7847503
2000-03-29,2.6696341037750244,2.699786444164141,2.6464401530569104,2.669634103775025,5076510
2000-03-30,2.634843111038208,2.6626759023096875,2.613968453692235,2.6441205377490657,8482743
2000-03-31,2.604691982269287,2.632524786479554,2.604691982269287,2.611650119429461,25821725
2000-04-03,2.6093292236328125,2.6371620107558282,2.5814964365097963,2.604690383184074,7839585
2000-04-04,2.637162923812866,2.690509224089167,2.616288262350879,2.618607811163046,21091401
2000-04-05,2.593094825744629,2.6673158023122117,2.565262023424174,2.641802293697814,12807044
2000-04-06,2.5188732147216797,2.5977330144076753,2.5165539215998076,2.5977330144076753,21512475
2000-04-07,2.5699002742767334,2.576858409361239,2.532789794543544,2.549025613453721,11061083
2000-04-10,2.6162877082824707,2.6186072566034118,2.5467056033348725,2.576857942520963,8624985
2000-04-11,2.576859474182129,2.6186088130799936,2.57454018005207,2.57454018005207,8956274
2000-04-12,2.6000537872314453,2.6348449928457804,2.5699016816399665,2.618609165044327,7841431
2000-04-13,2.662675142288208,2.674272114043685,2.590773764062623,2.59541234830931,11700748
2000-04-14,2.6209259033203125,2.690507991116554,2.5907738271358864,2.6557168194337404,11107265
2000-04-17,2.5814967155456543,2.5930936901363184,2.4887206632508985,2.528150427973045,27652226
2000-04-18,2.5606226921081543,2.611649444036124,2.521192917637927,2.597733173314635,9282542
2000-04-19,2.5304715633392334,2.5791787849413117,2.5304715633392334,2.5745401966512875,15705839
2000-04-20,2.604691982269287,2.6186085121592066,2.52815170679866,2.5443875305521133,22860411
2000-04-21,2.558302879333496,2.558302879333496,2.558302879333496,2.558302879333496,0
2000-04-24,2.558302879333496,2.558302879333496,2.558302879333496,2.558302879333496,0
2000-04-25,2.637162923812866,2.644121059110361,2.562941962074579,2.581497330293902,11835006
2000-04-26,2.655717611312866,2.678911817873895,2.6232462332663506,2.664995293937278,8248167
2000-04-27,2.5907750129699707,2.6557180349931575,2.567580802708651,2.6557180349931575,9681403
2000-04-28,2.66035532951355,2.6673137163289953,2.5930927978061744,2.609328607759957,24653673
2000-05-01,2.558302879333496,2.558302879333496,2.558302879333496,2.558302879333496,0
2000-05-02,2.7256853580474854,2.7256853580474854,2.653404693741695,2.6697258937266026,8099687
2000-05-03,2.6114342212677,2.7163577616723322,2.606770912840337,2.68371485959823,9926485
2000-05-04,2.6659491062164307,2.6917411046109665,2.619054845527305,2.6237440649088617,10449404
2000-05-05,2.6143643856048584,2.6940847021701946,2.614364385604858,2.661258628676445,7258987
2000-05-08,2.6307787895202637,2.6401574879930636,2.6026421773833994,2.6190552226598394,7733630
2000-05-09,2.5862293243408203,2.5862293243408208,2.5862293243408208,2.5862293243408208,0
2000-05-10,2.471336841583252,2.567470475391472,2.4572684104067473,2.5463679578062943,15409929
2000-05-11,2.5299551486968994,2.529955148696899,2.4150638545033014,2.438510983583045,11701615
2000-05-12,2.513542652130127,2.5534033527031683,2.4713378579615135,2.5205772581502117,6698074
2000-05-15,2.4900951385498047,2.52761096476956,2.461958527244212,2.5182320082146212,11258936
2000-05-16,2.518230676651001,2.5510567488766367,2.5065068579769134,2.5299542369660015,9471107
2000-05-17,2.4267868995666504,2.5252653890115266,2.415063337536317,2.520575912527568,15645770
2000-05-18,2.4525792598724365,2.478371257950271,2.426787520153794,2.438511085182121,14660202
2000-05-19,2.405684232711792,2.4549233451464936,2.35644512027709,2.450233868958554,12520528
2000-05-22,2.3681693077087402,2.4432004298357013,2.358790352853076,2.403340000878716,8095259
2000-05-23,2.3798928260803223,2.408029431744079,2.344722133590419,2.400995344917933,8648401
2000-05-24,2.3775475025177,2.398650015017373,2.3541001228741214,2.356444990018027,8304255
