Unnamed: 0,Date,SAN_Price,BBVA_Adj_Close,BBVA_Close,BBVA_Volume,BBVA_High,BBVA_Low,BBVA_Open,IBEX,SP500,EURUSD,OIL,eventos_negativos,vix,vix,vix,vix,vix,vix
0,2003-12-01,7.746233940124512,3.3041512966156006,9.895663261413574,25801137,9.895663261413574,9.645869255065918,9.895663261413574,7372.2998046875,1070.1199951171875,1.19650137424469,29.950000762939453,0,16.770000457763672,16.770000457763672,17.030000686645508,16.170000076293945,16.739999771118164,0
1,2003-12-02,7.71161413192749,3.2913200855255127,9.857233047485352,22303620,9.905269622802734,9.770766258239746,9.857233047485352,7348.7001953125,1066.6199951171875,1.2088974714279177,30.780000686645508,0,16.270000457763672,16.270000457763672,16.889999389648438,16.170000076293945,16.889999389648438,0
2,2003-12-03,7.763544082641602,3.3137764930725098,9.924485206604004,14010666,9.934091567993164,9.780372619628906,9.924485206604004,7384.2998046875,1064.72998046875,1.2122975587844849,31.100000381469727,0,16.6299991607666,16.6299991607666,16.68000030517578,15.770000457763672,16.079999923706055,0
3,2003-12-04,7.728923797607422,3.323397397994995,9.953307151794434,19892058,9.972521781921388,9.809196472167969,9.953307151794434,7367.10009765625,1069.719970703125,1.2080942392349243,31.26000022888184,0,16.299999237060547,16.299999237060547,16.829999923706055,16.290000915527344,16.479999542236328,0
4,2003-12-05,7.702959060668945,3.2913200855255127,9.857233047485352,12585450,9.962915420532228,9.818802833557127,9.857233047485352,7348.10009765625,1061.5,1.2186946868896484,30.729999542236328,0,17.09000015258789,17.09000015258789,17.31999969482422,16.5,16.760000228881836,0
5,2003-12-09,7.6769938468933105,3.2913200855255127,9.857233047485352,30355959,9.895663261413574,9.780372619628906,9.857233047485352,7391.0,1060.1800537109375,1.2249947786331177,31.76000022888184,0,17.6299991607666,17.6299991607666,17.799999237060547,16.559999465942383,16.6299991607666,0
6,2003-12-10,7.616408824920654,3.2720718383789062,9.799588203430176,20620681,9.847625732421877,9.655476570129396,9.799588203430176,7358.7998046875,1059.050048828125,1.2190959453582764,31.8799991607666,0,17.8700008392334,17.8700008392334,18.270000457763672,17.579999923706055,17.65999984741211,0
7,2003-12-11,7.71161413192749,3.307359218597412,9.905269622802734,21052367,9.905269622802734,9.741944313049316,9.905269622802734,7432.2001953125,1071.2099609375,1.2224042415618896,31.850000381469727,0,16.729999542236328,16.729999542236328,17.950000762939453,16.510000228881836,17.950000762939453,0
8,2003-12-12,7.71161413192749,3.2977352142333984,9.876447677612305,17599306,9.991737365722656,9.828411102294922,9.876447677612305,7434.39990234375,1074.1400146484375,1.2278977632522583,33.040000915527344,0,16.40999984741211,16.40999984741211,16.979999542236328,16.09000015258789,16.190000534057617,0
9,2003-12-15,7.737578868865967,3.3105661869049072,9.914877891540527,26816896,10.020559310913086,9.876447677612305,9.914877891540527,7471.7998046875,1068.0400390625,1.2319974899291992,33.18000030517578,0,17.229999542236328,17.229999542236328,17.420000076293945,15.789999961853027,15.800000190734863,0
